Index,Plate Appearance (season),Date,Hands on Swing,Handedness,Outcome,EV,LA,Air/Ground,Outcome Direction,Pitch Location,Pitch Velo,2 strikes,,,
0,1,4/2/23,1,L,3-Jan,74.3,-13,G,1,1,85,n,,,
1,2,4/2/23,2,L,Foul,75.9,54,,,5,90,n,,,
2,2,4/2/23,2,L,Miss,,,,,3,91,n,,,
3,2,4/2/23,1,L,Single ,105.4,13,,8,6,91,y,,,
4,3,4/2/23,1,L,Single,65.2,0,G,7,13,84,y,,,
5,4,4/2/23,1,L,Miss,,,,,12,87,n,,,
6,4,4/2/23,1,L,Single ,76.4,26,,9,1,94,n,,,
7,5,4/3/23,1,R,Foul,67.5,68,,,2,95,n,,,
8,5,4/3/23,2,R,F8,89.6,23,A,8,5,95,y,,,
9,6,4/4/23,2,R,Miss,,,,,13,82,n,,,
10,6,4/4/23,2,R,Foul,71.1,31,,,7,83,n,,,
11,6,4/4/23,2,R,Foul,85.8,33,,,7,92,y,,,
12,6,4/4/23,2,R,Foul,76.5,37,,,8,92,y,,,
13,6,4/4/23,2,R,F9,96.2,17,A,9,7,83,y,,,
14,7,4/4/23,2,R,Single ,109.1,6,,9,5,93,n,,,
15,8,4/4/23,1,L,Foul,97.6,11,,,12,89,n,,,
16,8,4/4/23,1,L,3-Jun,95.1,-9,G,6,5,91,y,,,
17,9,4/4/23,2,L,Foul,76.6,-20,,,12,88,n,,,
18,9,4/4/23,2,L,F7,96.8,57,A,7,10,93,n,,,
19,10,4/5/23,2,L,Foul,84.3,56,,,6,88,n,,,
20,10,4/5/23,2,L,Foul,85.8,66,,,2,90,n,,,
21,10,4/5/23,1,L,3-Apr,101.6,-1,G,4,5,90,y,,,
22,11,4/5/23,2,L,F8,104.2,31,A,8,7,90,n,,,
23,12,4/5/23,1,L,Foul,81.3,77,,,1,93,n,,,
24,12,4/5/23,1,L,3-Jun,101,0,G,6,3,93,y,,,
25,13,4/5/23,1,L,Double,91.9,15,,7,2,86,n,,,
26,14,4/8/23,2,R,Foul,70.5,29,,,7,92,n,,,
27,14,4/8/23,2,R,Miss,,,,,2,92,n,,,
28,14,4/8/23,2,R,Single ,106.4,14,,7,6,83,y,,,
29,15,4/8/23,2,R,Foul,68.9,39,,,6,85,n,,,
